State,Last_Update,Confirmed
District of Columbia,2020-04-25,3528
Florida,2020-04-25,30533
Georgia,2020-04-25,22491
Grand Princess,2020-04-25,103
Guam,2020-04-25,141
Hawaii,2020-04-25,601
Idaho,2020-04-25,1870
Illinois,2020-04-25,39658
Indiana,2020-04-25,13681
Iowa,2020-04-25,4445
Kansas,2020-04-25,2959
Kentucky,2020-04-25,3779
Louisiana,2020-04-25,26140
Maine,2020-04-25,965
Maryland,2020-04-25,16616
Massachusetts,2020-04-25,50969
Michigan,2020-04-25,36641
Minnesota,2020-04-25,3185
Mississippi,2020-04-25,5434
Missouri,2020-04-25,6788
Montana,2020-04-25,444
Nebraska,2020-04-25,2424
Nevada,2020-04-25,4398
New Hampshire,2020-04-25,1720
New Jersey,2020-04-25,102196
New Mexico,2020-04-25,2521
New York,2020-04-25,271590
North Carolina,2020-04-25,8290
North Dakota,2020-04-25,748
Northern Mariana Islands,2020-04-25,14
Ohio,2020-04-25,15169
Oklahoma,2020-04-25,3121
Oregon,2020-04-25,2177
Pennsylvania,2020-04-25,40208
Puerto Rico,2020-04-25,1276
Rhode Island,2020-04-25,6699
South Carolina,2020-04-25,5070
South Dakota,2020-04-25,2040
Tennessee,2020-04-25,8728
Texas,2020-04-25,23642
Utah,2020-04-25,3782
Vermont,2020-04-25,827
Virgin Islands,2020-04-25,54
Virginia,2020-04-25,11594
Washington,2020-04-25,12977
West Virginia,2020-04-25,1010
Wisconsin,2020-04-25,5356
Wyoming,2020-04-25,473
Recovered,2020-04-25,0
Province_State,Last_Update,Confirmed
Alabama,2020-04-26,6274
Alaska,2020-04-26,339
American Samoa,2020-04-26,0
Arizona,2020-04-26,6286
Arkansas,2020-04-26,2911
California,2020-04-26,42368
Colorado,2020-04-26,12968
Connecticut,2020-04-26,24583
Delaware,2020-04-26,3576
Diamond Princess,2020-04-26,49
District of Columbia,2020-04-26,3699
Florida,2020-04-26,30839
Georgia,2020-04-26,23222
Grand Princess,2020-04-26,103
Guam,2020-04-26,141
Hawaii,2020-04-26,605
Idaho,2020-04-26,1887
Illinois,2020-04-26,41777
Indiana,2020-04-26,14399
Iowa,2020-04-26,5092
Kansas,2020-04-26,3135
Kentucky,2020-04-26,3915
Louisiana,2020-04-26,26512
Maine,2020-04-26,965
Maryland,2020-04-26,17766
Massachusetts,2020-04-26,53348
Michigan,2020-04-26,37074
Minnesota,2020-04-26,3446
Mississippi,2020-04-26,5718
Missouri,2020-04-26,6935
Montana,2020-04-26,445
Nebraska,2020-04-26,2719
Nevada,2020-04-26,4539
New Hampshire,2020-04-26,1797
New Jersey,2020-04-26,105498
New Mexico,2020-04-26,2660
New York,2020-04-26,282143
North Carolina,2020-04-26,8768
North Dakota,2020-04-26,803
Northern Mariana Islands,2020-04-26,14
Ohio,2020-04-26,15587
Oklahoma,2020-04-26,3194
Oregon,2020-04-26,2253
Pennsylvania,2020-04-26,41153
Puerto Rico,2020-04-26,1307
Rhode Island,2020-04-26,7129
South Carolina,2020-04-26,5253
South Dakota,2020-04-26,2147
Tennessee,2020-04-26,9189
Texas,2020-04-26,24176
Utah,2020-04-26,3948
Vermont,2020-04-26,843
Virgin Islands,2020-04-26,55
Virginia,2020-04-26,12366
Washington,2020-04-26,13319
West Virginia,2020-04-26,1010
Wisconsin,2020-04-26,5687
Wyoming,2020-04-26,491
Recovered,2020-04-26,0
Province_State,Last_Update,Confirmed
Alabama,2020-04-27,6475
Alaska,2020-04-27,340
American Samoa,2020-04-27,0
Arizona,2020-04-27,6534
Arkansas,2020-04-27,3001
California,2020-04-27,43558
Colorado,2020-04-27,13441
Connecticut,2020-04-27,25269
Delaware,2020-04-27,4034
Diamond Princess,2020-04-27,49
District of Columbia,2020-04-27,3841
Florida,2020-04-27,31532
Georgia,2020-04-27,23486
Grand Princess,2020-04-27,103
Guam,2020-04-27,141
Hawaii,2020-04-27,606
Idaho,2020-04-27,1897
Illinois,2020-04-27,43903
Indiana,2020-04-27,15012
Iowa,2020-04-27,5476
Kansas,2020-04-27,3277
Kentucky,2020-04-27,4085
Louisiana,2020-04-27,26773
Maine,2020-04-27,1015
Maryland,2020-04-27,18581
Massachusetts,2020-04-27,54938
Michigan,2020-04-27,37778
Minnesota,2020-04-27,3602
Mississippi,2020-04-27,5911
Missouri,2020-04-27,7120
Montana,2020-04-27,448
Nebraska,2020-04-27,3028
Nevada,2020-04-27,4734
New Hampshire,2020-04-27,1864
New Jersey,2020-04-27,109038
New Mexico,2020-04-27,2726
New York,2020-04-27,288045
North Carolina,2020-04-27,8997
North Dakota,2020-04-27,867
Northern Mariana Islands,2020-04-27,14
Ohio,2020-04-27,15972
Oklahoma,2020-04-27,3254
Oregon,2020-04-27,2311
Pennsylvania,2020-04-27,42616
Puerto Rico,2020-04-27,1371
Rhode Island,2020-04-27,7439
South Carolina,2020-04-27,5498
South Dakota,2020-04-27,2212
Tennessee,2020-04-27,9667
Texas,2020-04-27,24979
Utah,2020-04-27,4123
Vermont,2020-04-27,851
Virgin Islands,2020-04-27,57
Virginia,2020-04-27,12970
Washington,2020-04-27,13521
West Virginia,2020-04-27,1055
Wisconsin,2020-04-27,5912
Wyoming,2020-04-27,502
Recovered,2020-04-27,0
Province_State,Last_Update,Confirmed
Alabama,2020-04-28,6621
Alaska,2020-04-28,345
American Samoa,2020-04-28,0
Arizona,2020-04-28,6725
Arkansas,2020-04-28,3069
California,2020-04-28,44966
Colorado,2020-04-28,13879
Connecticut,2020-04-28,25997
Delaware,2020-04-28,4162
Diamond Princess,2020-04-28,49
